Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
wagerResultAmountObj = new com.kms.katalon.core.testobject.TestObject(wagerAmount),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.001s,PASSED
robot = new java.awt.Robot(),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.004s,PASSED
if (individualTestCase == true),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.000s,PASSED
"waitForElementClickable(findTestObject(""Repositorio Sportbook/MiCuenta(ADP-50)/button_TRANSACCIONES""), 2)",Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.053s,PASSED
"click(findTestObject(""Repositorio Sportbook/MiCuenta(ADP-50)/button_TRANSACCIONES""))",Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.063s,PASSED
"waitForElementVisible(findTestObject(""Repositorio Sportbook/Transacciones(ADP-53)/th_ Documento""), 2)",Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.038s,PASSED
"verifyElementVisible(findTestObject(""Repositorio Sportbook/Transacciones(ADP-53)/th_ Documento""))",Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.023s,PASSED
"verifyElementVisible(findTestObject(""Repositorio Sportbook/Transacciones(ADP-53)/th_Balance""))",Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:07,0.038s,PASSED
"verifyElementVisible(findTestObject(""Repositorio Sportbook/Transacciones(ADP-53)/th_Cantidad""))",Chrome 70.0.3538.110,,2018-12-11 15:47:07,2018-12-11 15:47:07,0.035s,PASSED
if (!(mobileBrowser)),Chrome 70.0.3538.110,,2018-12-11 15:47:07,2018-12-11 15:47:07,0.116s,PASSED
"verifyElementVisible(findTestObject(""Repositorio Sportbook/Transacciones(ADP-53)/button_Todo""))",Chrome 70.0.3538.110,,2018-12-11 15:47:07,2018-12-11 15:47:07,0.037s,PASSED
"verifyElementVisible(findTestObject(""Repositorio Sportbook/Transacciones(ADP-53)/button_Jugadas de Cortesa""), STOP_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-11 15:47:07,2018-12-11 15:47:07,0.042s,PASSED
"wagerIdObjectPlusSingObj.addProperty(""css"", EQUALS, "".plus-sgin-wager-report i"")",Chrome 70.0.3538.110,,2018-12-11 15:47:07,2018-12-11 15:47:07,0.000s,PASSED
if (mobileBrowser),Chrome 70.0.3538.110,,2018-12-11 15:47:07,2018-12-11 15:47:07,0.001s,PASSED
"if (verifyElementVisible(wagerIdObjectPlusSingObj, OPTIONAL))",Chrome 70.0.3538.110,,2018-12-11 15:47:07,2018-12-11 15:47:07,0.039s,PASSED
if (transacionIsVisible == true),Chrome 70.0.3538.110,,2018-12-11 15:47:07,2018-12-11 15:47:11,4.137s,PASSED
,,,,,,
Test Cases/PREGAME/SportBook/OpcionBalanceDiario(ADP-52),Chrome 70.0.3538.110,Revisa si se visualiza correctamente el balance del jugador por los días. ADP-52,2018-12-11 15:47:11,2018-12-11 15:47:24,12.871s,FAILED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.000s,PASSED
tuesdayThObject = null,Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.000s,PASSED
tuesdayThObjectTest = null,Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.000s,PASSED
dayThByBalance = null,Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.000s,PASSED
dailyfigWagerPlusDetailBtn = new com.kms.katalon.core.testobject.TestObject(dailyfigWagerPlusDetailBtn),Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.001s,PASSED
wagerAmountLinkObj = new com.kms.katalon.core.testobject.TestObject(WagerBalanceAmountLink),Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.000s,PASSED
if (individualTestCase == true),Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.000s,PASSED
"click(findTestObject(""Repositorio Sportbook/MiCuenta(ADP-50)/button_BALANCE DIARIO""))",Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.094s,PASSED
"waitForElementVisible(findTestObject(""Repositorio Sportbook/BalanceDiario(ADP-52)/th_Monday""), 2)",Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.049s,PASSED
"verifyElementVisible(findTestObject(""Repositorio Sportbook/BalanceDiario(ADP-52)/th_Monday""))",Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.028s,PASSED
"verifyElementVisible(findTestObject(""Repositorio Sportbook/BalanceDiario(ADP-52)/th_Tuesday""))",Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.033s,PASSED
"tuesdayThObject = findTestObject(""Repositorio Sportbook/BalanceDiario(ADP-52)/th_Tuesday"")",Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.002s,PASSED
"verifyElementVisible(findTestObject(""Repositorio Sportbook/BalanceDiario(ADP-52)/th_Wednesday""))",Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.042s,PASSED
"verifyElementVisible(findTestObject(""Repositorio Sportbook/BalanceDiario(ADP-52)/th_Thursday""))",Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.033s,PASSED
"verifyElementVisible(findTestObject(""Repositorio Sportbook/BalanceDiario(ADP-52)/th_Friday""))",Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.034s,PASSED
"verifyElementVisible(findTestObject(""Repositorio Sportbook/BalanceDiario(ADP-52)/th_Saturday""))",Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.039s,PASSED
"verifyElementVisible(findTestObject(""Repositorio Sportbook/BalanceDiario(ADP-52)/th_Sunday""))",Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.065s,PASSED
"click(findTestObject(""Repositorio Sportbook/BalanceDiario(ADP-52)/input_To Win_br_startDaySelect""))",Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:13,0.236s,PASSED
delay(2),Chrome 70.0.3538.110,,2018-12-11 15:47:13,2018-12-11 15:47:15,2.002s,PASSED
tuesdayThObjectTest = new com.kms.katalon.core.testobject.TestObject(tuesdayTh),Chrome 70.0.3538.110,,2018-12-11 15:47:15,2018-12-11 15:47:15,0.000s,PASSED
"tuesdayThObjectTest.addProperty(""css"", EQUALS, ""#br_headerTable  thead  tr  th:nth-child(1)"")",Chrome 70.0.3538.110,,2018-12-11 15:47:15,2018-12-11 15:47:15,0.001s,PASSED
"nonStartTuesdayValue = getAttribute(tuesdayThObject, ""textContent"", STOP_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-11 15:47:15,2018-12-11 15:47:15,0.024s,PASSED
